episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,197,128,128.000,0.9950,197
2,96,64,96.000,0.9926,293
3,88,64,85.333,0.9903,381
4,112,64,80.000,0.9875,493
5,165,128,89.600,0.9833,658
6,193,128,96.000,0.9784,851
7,101,64,91.429,0.9758,952
8,208,256,112.000,0.9706,1160
9,76,64,106.667,0.9686,1236
10,257,256,121.600,0.9621,1493
11,169,128,122.182,0.9578,1662
12,152,128,122.667,0.9540,1814
13,85,64,118.154,0.9518,1899
14,146,128,118.857,0.9481,2045
15,111,64,115.200,0.9453,2156
16,98,64,112.000,0.9428,2254
17,136,128,112.941,0.9393,2390
18,176,128,113.778,0.9349,2566
19,147,128,114.526,0.9312,2713
20,101,32,110.400,0.9286,2814
21,121,64,108.190,0.9255,2935
22,134,128,109.091,0.9221,3069
23,135,64,107.130,0.9187,3204
24,160,128,108.000,0.9146,3364
25,86,64,106.240,0.9125,3450
26,146,64,104.615,0.9087,3596
27,229,128,105.481,0.9029,3825
28,211,128,106.286,0.8976,4036
29,121,128,107.034,0.8945,4157
30,136,64,105.600,0.8911,4293
31,103,64,104.258,0.8884,4396
32,122,128,105.000,0.8853,4518
33,96,64,103.758,0.8829,4614
34,92,32,101.647,0.8806,4706
35,130,64,100.571,0.8773,4836
36,72,32,98.667,0.8755,4908
37,104,64,97.730,0.8728,5012
38,96,64,96.842,0.8704,5108
39,179,128,97.641,0.8658,5287
40,159,128,98.400,0.8618,5446
41,88,64,97.561,0.8596,5534
42,219,128,98.286,0.8540,5753
43,57,32,96.744,0.8526,5810
44,151,128,97.455,0.8487,5961
45,91,64,96.711,0.8464,6052
46,135,128,97.391,0.8430,6187
47,67,32,96.000,0.8413,6254
48,179,128,96.667,0.8368,6433
49,214,128,97.306,0.8313,6647
50,143,64,96.640,0.8277,6790
51,233,256,99.765,0.8218,7023
52,158,128,100.308,0.8178,7181
53,211,256,103.245,0.8124,7392
54,152,128,103.704,0.8086,7544
55,105,64,102.982,0.8059,7649
56,84,32,101.714,0.8038,7733
57,101,64,101.053,0.8012,7834
58,226,256,103.724,0.7955,8060
59,146,128,104.136,0.7918,8206
60,94,64,103.467,0.7894,8300
61,49,16,102.033,0.7881,8349
62,211,256,104.516,0.7828,8560
63,135,64,103.873,0.7793,8695
64,90,64,103.250,0.7771,8785
65,87,64,102.646,0.7749,8872
66,86,64,102.061,0.7727,8958
67,105,64,101.493,0.7700,9063
68,152,128,101.882,0.7662,9215
69,181,128,102.261,0.7616,9396
70,134,128,102.629,0.7582,9530
71,62,32,101.634,0.7566,9592
72,165,128,102.000,0.7524,9757
73,99,64,101.479,0.7499,9856
74,92,64,100.973,0.7476,9948
75,117,64,100.480,0.7446,10065
76,95,64,100.000,0.7422,10160
77,118,64,99.532,0.7392,10278
78,76,64,99.077,0.7372,10354
79,152,128,99.443,0.7334,10506
80,121,64,99.000,0.7303,10627
81,134,128,99.358,0.7269,10761
82,171,128,99.707,0.7226,10932
83,102,64,99.277,0.7200,11034
84,164,128,99.619,0.7158,11198
85,136,64,99.200,0.7124,11334
86,138,128,99.535,0.7089,11472
87,273,256,101.333,0.7020,11745
88,100,64,100.909,0.6994,11845
89,101,64,100.494,0.6968,11946
90,104,64,100.089,0.6942,12050
91,131,128,100.396,0.6909,12181
92,79,32,99.652,0.6889,12260
93,133,128,99.957,0.6855,12393
94,98,64,99.574,0.6830,12491
95,94,64,99.200,0.6806,12585
96,163,128,99.500,0.6765,12748
97,98,64,99.134,0.6740,12846
98,108,64,98.776,0.6713,12954
99,151,128,99.071,0.6674,13105
100,164,128,99.360,0.6633,13269
101,120,64,98.720,0.6602,13389
102,130,64,98.720,0.6569,13519
103,155,128,99.360,0.6530,13674
104,171,128,100.000,0.6487,13845
105,60,32,99.040,0.6471,13905
106,92,64,98.400,0.6448,13997
107,118,64,98.400,0.6418,14115
108,136,128,97.120,0.6384,14251
109,172,128,97.760,0.6340,14423
110,100,64,95.840,0.6315,14523
111,99,64,95.200,0.6289,14622
112,187,128,95.200,0.6242,14809
113,169,128,95.840,0.6199,14978
114,118,64,95.200,0.6169,15096
115,128,64,95.200,0.6137,15224
116,92,64,95.200,0.6113,15316
117,201,128,95.200,0.6062,15517
118,91,64,94.560,0.6039,15608
119,94,64,93.920,0.6015,15702
120,161,128,94.880,0.5974,15863
121,100,64,94.880,0.5949,15963
122,158,128,94.880,0.5909,16121
123,138,128,95.520,0.5874,16259
124,144,128,95.520,0.5837,16403
125,177,128,96.160,0.5793,16580
126,115,64,96.160,0.5763,16695
127,78,64,95.520,0.5744,16773
128,140,128,95.520,0.5708,16913
129,217,256,96.800,0.5653,17130
130,146,128,97.440,0.5616,17276
131,197,128,98.080,0.5566,17473
132,130,64,97.440,0.5533,17603
133,171,128,98.080,0.5490,17774
134,127,128,99.040,0.5457,17901
135,153,128,99.680,0.5418,18054
136,159,128,100.640,0.5378,18213
137,177,256,102.560,0.5333,18390
138,120,64,102.560,0.5303,18510
139,151,128,102.560,0.5264,18661
140,76,64,101.920,0.5245,18737
141,143,128,102.560,0.5209,18880
142,351,256,103.840,0.5120,19231
143,98,64,104.160,0.5095,19329
144,155,128,104.160,0.5056,19484
