episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,160,128,128.000,0.9852,160
2,201,128,128.000,0.9665,361
3,106,64,106.667,0.9567,467
4,127,128,112.000,0.9450,594
5,112,64,102.400,0.9346,706
6,194,128,106.667,0.9166,900
7,89,64,100.571,0.9083,989
8,164,128,104.000,0.8931,1153
9,246,256,120.889,0.8703,1399
10,72,64,115.200,0.8637,1471
11,149,128,116.364,0.8499,1620
12,115,64,112.000,0.8392,1735
13,119,64,108.308,0.8282,1854
14,173,128,109.714,0.8121,2027
15,150,128,110.933,0.7982,2177
16,175,128,112.000,0.7820,2352
17,95,64,109.176,0.7732,2447
18,134,64,106.667,0.7608,2581
19,127,64,104.421,0.7490,2708
20,166,128,105.600,0.7337,2874
21,251,256,112.762,0.7104,3125
22,112,64,110.545,0.7000,3237
23,152,64,108.522,0.6859,3389
24,120,64,106.667,0.6748,3509
25,81,32,103.680,0.6673,3590
26,208,128,104.615,0.6480,3798
27,140,128,105.481,0.6350,3938
28,183,128,106.286,0.6181,4121
29,221,128,107.034,0.5976,4342
30,167,64,105.600,0.5821,4509
31,339,256,110.452,0.5507,4848
32,115,64,109.000,0.5401,4963
33,161,64,107.636,0.5251,5124
34,176,128,108.235,0.5088,5300
35,70,32,106.057,0.5023,5370
36,205,128,106.667,0.4833,5575
37,101,32,104.649,0.4740,5676
38,231,128,105.263,0.4526,5907
39,186,128,105.846,0.4353,6093
40,142,64,104.800,0.4222,6235
41,139,128,105.366,0.4093,6374
42,110,64,104.381,0.3991,6484
43,146,64,103.442,0.3856,6630
44,187,128,104.000,0.3682,6817
45,114,64,103.111,0.3577,6931
46,107,32,101.565,0.3478,7038
47,105,64,100.766,0.3380,7143
48,70,32,99.333,0.3315,7213
49,137,64,98.612,0.3188,7350
50,138,64,97.920,0.3061,7488
51,181,64,97.255,0.2893,7669
52,245,128,97.846,0.2666,7914
53,170,64,97.208,0.2508,8084
54,147,64,96.593,0.2372,8231
55,187,128,97.164,0.2199,8418
56,155,64,96.571,0.2055,8573
57,183,64,96.000,0.1885,8756
58,271,128,96.552,0.1634,9027
59,290,64,96.000,0.1365,9317
60,161,64,95.467,0.1216,9478
61,452,128,96.000,0.0797,9930
62,169,64,95.484,0.0641,10099
63,356,64,94.984,0.0500,10455
64,318,128,95.500,0.0500,10773
65,629,128,96.000,0.0500,11402
66,302,64,95.515,0.0500,11704
67,450,128,96.000,0.0500,12154
68,99,64,95.529,0.0500,12253
69,618,64,95.072,0.0500,12871
70,352,64,94.629,0.0500,13223
71,150,64,94.197,0.0500,13373
72,144,64,93.778,0.0500,13517
73,392,128,94.247,0.0500,13909
74,288,64,93.838,0.0500,14197
75,155,64,93.440,0.0500,14352
76,321,64,93.053,0.0500,14673
77,770,128,93.506,0.0500,15443
78,206,128,93.949,0.0500,15649
79,361,64,93.570,0.0500,16010
80,207,64,93.200,0.0500,16217
81,136,64,92.840,0.0500,16353
82,107,64,92.488,0.0500,16460
83,422,128,92.916,0.0500,16882
84,101,128,93.333,0.0500,16983
85,176,64,92.988,0.0500,17159
86,82,64,92.651,0.0500,17241
87,122,32,91.954,0.0500,17363
88,597,256,93.818,0.0500,17960
89,195,128,94.202,0.0500,18155
90,138,32,93.511,0.0500,18293
91,161,64,93.187,0.0500,18454
92,204,64,92.870,0.0500,18658
93,165,64,92.559,0.0500,18823
94,284,128,92.936,0.0500,19107
95,371,128,93.305,0.0500,19478
96,102,64,93.000,0.0500,19580
97,223,128,93.361,0.0500,19803
98,68,64,93.061,0.0500,19871
99,213,64,92.768,0.0500,20084
100,236,128,93.120,0.0500,20320
101,280,64,92.480,0.0500,20600
102,140,128,92.480,0.0500,20740
103,261,128,93.120,0.0500,21001
104,257,128,93.120,0.0500,21258
105,191,128,93.760,0.0500,21449
106,257,128,93.760,0.0500,21706
107,90,64,93.760,0.0500,21796
108,434,256,95.040,0.0500,22230
109,176,64,93.120,0.0500,22406
110,647,256,95.040,0.0500,23053
111,79,64,94.400,0.0500,23132
112,198,64,94.400,0.0500,23330
113,442,256,96.320,0.0500,23772
114,330,256,97.600,0.0500,24102
